metric,value
split,test
images,2989
TP,1640
FP,260
FN,158
TN,931
accuracy,0.8601538976246236
precision,0.8631578947368421
recall,0.9121245828698554
f1,0.8869659275283938
metrics/precision(B),0.8383199887335162
metrics/recall(B),0.7366660957147121
metrics/mAP50(B),0.8178917745761171
metrics/mAP50-95(B),0.6312201511780412
metrics/precision(M),0.8422843526338957
metrics/recall(M),0.7298448433221782
metrics/mAP50(M),0.8057425507594488
metrics/mAP50-95(M),0.5890678743620683
fitness,1.2202880255401096
