epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1267.12,1.28005,2.49131,2.26973,1.34198,0,0,0,0,0,0,0,0,0,0,134.179,0,0.000665292,0.000665292,0.000665292
2,2516.23,1.39424,2.47023,1.80432,1.41434,0,0,0,0,0,0,0,0,0,0,64.6241,0,0.00131877,0.00131877,0.00131877
3,3760.04,1.38415,2.53411,1.70243,1.41424,0,0,0,0,0,0,0,0,0,0,93.78,0,0.00195905,0.00195905,0.00195905
4,4826.92,1.38324,2.48797,1.63105,1.4172,0,0,0,0,0,0,0,0,0,0,78.5273,0,0.0019406,0.0019406,0.0019406
5,5838.18,1.30069,2.30767,1.54779,1.35992,0,0,0,0,0,0,0,0,0,0,79.8012,0,0.0019208,0.0019208,0.0019208
6,6845.22,1.2562,2.30145,1.48594,1.33715,0,0,0,0,0,0,0,0,0,0,67.1976,0,0.001901,0.001901,0.001901
7,7855.19,1.23071,2.28278,1.45213,1.31621,0,0,0,0,0,0,0,0,0,0,67.0788,0,0.0018812,0.0018812,0.0018812
8,8855.77,1.22626,2.29277,1.4506,1.32769,0,0,0,0,0,0,0,0,0,0,88.4671,0,0.0018614,0.0018614,0.0018614
9,9848.76,1.17923,2.20629,1.37331,1.2916,0,0,0,0,0,0,0,0,0,0,93.7184,0,0.0018416,0.0018416,0.0018416
10,10991.9,1.16001,2.15487,1.33366,1.27948,0,0,0,0,0,0,0,0,0,0,89.6063,0,0.0018218,0.0018218,0.0018218
11,11986,1.14186,2.14452,1.33995,1.26738,0,0,0,0,0,0,0,0,0,0,71.6461,0,0.001802,0.001802,0.001802
12,12997.5,1.12488,2.12962,1.3101,1.25286,0,0,0,0,0,0,0,0,0,0,70.7311,0,0.0017822,0.0017822,0.0017822
13,14006.6,1.10047,2.05458,1.25733,1.23857,0,0,0,0,0,0,0,0,0,0,74.4637,0,0.0017624,0.0017624,0.0017624
14,15018,1.08656,2.02485,1.23461,1.22276,0,0,0,0,0,0,0,0,0,0,96.5427,0,0.0017426,0.0017426,0.0017426
15,16020.9,1.08961,2.02543,1.26244,1.23135,0,0,0,0,0,0,0,0,0,0,70.0339,0,0.0017228,0.0017228,0.0017228
16,17025.9,1.06963,2.01597,1.20844,1.20704,0,0,0,0,0,0,0,0,0,0,82.3689,0,0.001703,0.001703,0.001703
17,18298,1.05498,1.95762,1.20923,1.20542,0,0,0,0,0,0,0,0,0,0,72.513,0,0.0016832,0.0016832,0.0016832
18,19318.4,1.04505,1.96645,1.19507,1.19421,0,0,0,0,0,0,0,0,0,0,82.5455,0,0.0016634,0.0016634,0.0016634
19,20345,1.03804,1.94251,1.1678,1.1979,0,0,0,0,0,0,0,0,0,0,78.6326,0,0.0016436,0.0016436,0.0016436
20,21372.4,1.02701,1.94418,1.15199,1.18449,0,0,0,0,0,0,0,0,0,0,79.9451,0,0.0016238,0.0016238,0.0016238
